"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gng2",12346.6114981021,-2.17019589453627,0.0990587333744231,-21.9081732686137,2.17117395716382e-106,4.8574960209342e-105
"Gng3",3549.06252008997,0.167475973635438,0.0973211566197837,1.72085884973333,0.085276440339029,0.109467476158654
"Gng4",779.505025874832,0.68316109340418,0.133053550916021,5.13448223441529,2.82921815919132e-07,5.99602483490653e-07
"Gng5",88.1668364098823,-0.119780409052653,0.20133097846361,-0.594942765225288,0.551881729832017,0.600240953818143
"Gng7",3155.85388980686,2.14896247554914,0.102546634294191,20.9559532630206,1.65580454291182e-97,3.26626942145036e-96
"Gng8",19.2636469649659,2.45306909151267,0.44863506391071,5.46784968194304,4.55527928743535e-08,1.01134837237069e-07
"Gngt2",19.8996266499959,3.82921699530771,0.543835247493568,7.04113426438582,1.9068115300843e-12,5.28577430457415e-12
"Gnl1",3935.75712916068,1.31681325165087,0.0987581114180229,13.3337224937106,1.47357372432186e-40,1.00755743261339e-39
"Gnl2",1723.6597675119,-0.680370696045018,0.077536467625532,-8.77484771850735,1.71135287807082e-18,6.11658371384312e-18
"Gnl3",614.788105337493,-0.762172577786082,0.104778518093809,-7.27413015236292,3.48659712304726e-13,9.97991325271476e-13
"Gnl3l",4446.39398994587,0.70483713605844,0.0849160428482942,8.30040016487414,1.03761300985788e-16,3.44341446610289e-16
"Gnmt",18.1072993670228,-0.501059970361899,0.413449088655628,-1.21190246661601,0.225549717846356,0.267616471336246
"Gnpat",1437.93375804437,-0.377939809724181,0.0759051713918938,-4.97910488565924,6.3879019572462e-07,1.32267319211318e-06
"Gnpda1",181.388729959212,0.555045744508068,0.144136278204957,3.85083999268255,0.000117713390077323,0.00020778380430193
"Gnpda2",267.278722306192,0.705453632083262,0.153790752102384,4.5871004754149,4.49444410173377e-06,8.77832537384504e-06
"Gnpnat1",127.926373463348,0.0866635071811274,0.174898117356153,0.495508519423627,0.620241209791043,0.666182263140308
"Gnptab",2148.4907206584,-0.18236576841887,0.0737646775915041,-2.47226415641345,0.0134260268833768,0.0192917459844915
"Gnptg",1320.73556640109,0.264287183391105,0.0936881990033565,2.82092287185109,0.00478857144207487,0.00725699862603235
"Gnrh1",8.32094659872737,-0.0803538247217894,0.685321594376563,-0.117249807070339,0.906662098740719,0.921552254547117
"Gnrhr",0.442728756538243,1.09142816802013,2.58662033300681,0.421951437593243,0.673060464022815,NA
"Gns",2043.77657173296,0.74183057480246,0.0836438381865045,8.86892078228604,7.38581940569028e-19,2.68074581814756e-18
"Golga1",984.956740791623,-0.552930997650897,0.0823573654537099,-6.71380142631784,1.89618315684303e-11,5.02135842592897e-11
"Golga2",2786.11621012614,0.242076654980992,0.0759685070702713,3.18653958484494,0.00143985782801922,0.00230280077103509
"Golga3",1788.83132282868,-0.202950533839817,0.0861953308275852,-2.35454208355873,0.0185455436114186,0.0262170518400038
"Golga4",4194.74826071587,0.0274754927378095,0.084844199816106,0.323834661619307,0.746063212840434,0.780789032672219
"Golga5",804.756451392001,-0.248249110591761,0.0915674566367644,-2.71110632215691,0.00670591195880754,0.00999366771850425
"Golga7",1070.88526906591,0.25193111953714,0.108812327005624,2.31528105748643,0.0205975557280689,0.0289226554391487
"Golga7b",2122.4699555194,1.34118024861078,0.114133872632529,11.7509396437366,6.98379091358667e-32,3.85467589193061e-31
"Golgb1",4367.93370766539,0.122365086801014,0.0782664411619178,1.56344258132122,0.117948531198399,0.148083168134066
"Golim4",1087.44197892336,-0.413366198200454,0.105442786140634,-3.92028903380009,8.84428305220271e-05,0.000157552460702444
"Golm1",1084.803700473,-0.374471495846983,0.116038028364362,-3.22714459324604,0.00125032260079666,0.00201128171135654
"Golph3",1429.71491904624,0.718505152831794,0.0945412968559383,7.5999079420991,2.96341480799562e-14,8.8833389966713e-14
